product_id,dist_center_id,currency,base_price,suggested_markup,amount_for_price,updated_cost,last_month_base_price,last_month_fob_net,product_anayst,lead_time,min_order_quantity,source_adjustment,competition_adjustment,commentary,on_demand,frac_emb
2461,6,usd,2251.799202,0.3,1000,TRUE,2252.194663,2927.853062,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
2461,8,usd,2339.339099,0.3,1000,TRUE,2355.355846,3061.9626,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
2460,8,usd,2578.280898,0.4,1000,TRUE,2610.772509,3655.081513,FABIO,115,19.9,,,Seguir pol??tica,REGULAR,TRUE
4871,6,usd,2334.073299,0.3,1000,TRUE,2334.46876,3034.809388,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
4871,8,usd,2409.86839,0.3,1000,TRUE,2423.630846,3150.7201,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
4870,8,usd,2710.582367,0.4,1000,TRUE,2741.77044,3838.478616,FABIO,115,19.9,,,Seguir pol??tica,REGULAR,TRUE
5175,6,usd,3849.696958,0.2,1000,TRUE,3850.092419,4620.110903,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
5175,8,usd,4001.479161,0.2,1000,TRUE,4031.480022,4837.776026,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
5174,8,usd,4266.928832,0.3,1000,TRUE,4324.037646,5621.24894,FABIO,115,19.9,,,Seguir pol??tica,REGULAR,TRUE
5934,6,usd,12071.15545,0.3,1000,TRUE,12071.55092,15693.01619,FABIO,115,170,,,Seguir pol??tica,REGULAR,FALSE
5934,8,usd,12717.02116,0.3,1000,TRUE,12794.43918,16632.77093,FABIO,115,170,,,Seguir pol??tica,REGULAR,FALSE
5933,8,usd,12963.70272,0.3,1000,TRUE,13425.37141,17452.98283,FABIO,115,16.9,,,Seguir pol??tica,REGULAR,TRUE
4069,6,usd,24196.85683,0.3,1000,TRUE,24197.2523,31456.42798,FABIO,115,170,,,Seguir pol??tica,REGULAR,FALSE
4069,8,usd,25832.12782,0.3,1000,TRUE,25984.0292,33779.23796,FABIO,115,170,,,Seguir pol??tica,REGULAR,FALSE
4070,8,usd,25073.14882,0.4,1000,TRUE,25075.12891,35105.18048,FABIO,115,25,,,Seguir pol??tica,REGULAR,TRUE
458,8,usd,7918.846561,0.3,1000,TRUE,7969.285075,10360.0706,FABIO,115,0,,,Seguir pol??tica,DESCONTINUADO,TRUE
781,6,usd,5471.577549,0.3,1000,TRUE,5471.97301,7113.564914,FABIO,120,200,,,Seguir pol??tica,CONTRA PEDIDO,FALSE
781,8,usd,5772.569323,0.3,1000,TRUE,5808.22717,7550.695321,FABIO,120,200,,,Seguir pol??tica,CONTRA PEDIDO,FALSE
2488,6,usd,4619.055136,0.3,1000,TRUE,4678.631996,6082.221595,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
2488,8,usd,4798.923034,0.3,1000,TRUE,4864.946353,6324.430259,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
2485,8,usd,5076.207064,0.3,1000,TRUE,5174.817078,6727.262202,FABIO,115,20,,,Seguir pol??tica,REGULAR,TRUE
3432,6,usd,4559.873738,0.3,1000,TRUE,4560.269199,5928.349959,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
3432,8,usd,4765.861095,0.3,1000,TRUE,4794.327584,6232.625859,FABIO,115,20,,,Seguir pol??tica,REGULAR,FALSE
780,6,usd,3686.049074,0.35,1000,TRUE,3686.444535,4976.700122,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
780,8,usd,3856.432286,0.35,1000,TRUE,3890.057678,5251.577865,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
779,8,usd,4254.547516,0.45,1000,TRUE,4280.868659,6207.259556,FABIO,115,19.9,,,Seguir pol??tica,REGULAR,TRUE
6151,6,usd,3038.146282,0.25,1000,TRUE,3038.541744,3798.17718,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
6151,8,usd,3191.131203,0.25,1000,TRUE,3215.405144,4019.25643,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
6148,8,usd,3495.440646,0.35,1000,TRUE,3800.265862,5130.358914,FABIO,115,18.9,,,Seguir pol??tica,REGULAR,TRUE
1554,6,usd,2915.505741,0.2,1000,TRUE,2915.901203,3499.081443,FABIO,115,195,,,Seguir pol??tica,REGULAR,FALSE
1554,8,usd,3102.917388,0.2,1000,TRUE,3132.961215,3759.553457,FABIO,115,195,,,Seguir pol??tica,REGULAR,FALSE
1552,8,usd,3454.736441,0.3,1000,TRUE,3506.581599,4558.556079,FABIO,115,20,,,Seguir pol??tica,REGULAR,TRUE
5602,6,usd,4757.585896,0.2,1000,TRUE,4757.981357,5709.577628,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
5602,8,usd,5076.331007,0.2,1000,TRUE,5107.129334,6128.555201,FABIO,115,200,,,Seguir pol??tica,REGULAR,FALSE
5600,8,usd,5480.684081,0.3,1000,TRUE,5545.295069,7208.883589,FABIO,115,19.9,,,Seguir pol??tica,REGULAR,TRUE
198,6,usd,4155.598917,0.2,1000,TRUE,4155.994378,4987.193254,FABIO,115,190,,,Seguir pol??tica,REGULAR,FALSE
198,8,usd,4418.683248,0.2,1000,TRUE,4445.822693,5334.987232,FABIO,115,190,,,Seguir pol??tica,REGULAR,FALSE
3453,6,usd,5793.7563,0.2,1000,TRUE,5926.421043,7111.705251,FABIO,115,0,,,Seguir pol??tica,DESCONTINUADO,FALSE
