Municipio,Itinerario
TIJUCAS,SC 1800
TIMBO,SC 1820
TIMON,MA 1220
TOLEDO,PR 2770
TREMEMBE,SP 5480
TRES BARRAS,SC 1830
TRES CORACOES,MG 6930
TRES COROAS,RS 2170
TRES LAGOAS,MS 0830
TRES RIOS,RJ 0600
TREZE DE MAIO,SC 1840
TREZE TILIAS,SC 1850
TRINDADE,GO 2140
TRIUNFO,RS 2200
TRIZIDELA DO VALE,MA 1223
TROMBUDO CENTRAL,SC 1860
TUBARAO,SC 1870
TUPANDI,RS 2225
TURVELANDIA,GO 2155
TURVO,SC 1880
UBARANA,SP 5535
UBERABA,MG 7010
UBERLANDIA,MG 7020
UCHOA,SP 5560
ULIANOPOLIS,PA 0812
UMUARAMA,PR 2810
UNIAO,PI 1110
UNIAO DOS PALMARES,AL 0930
URUACU,GO 2160
URUGUAIANA,RS 2240
URUSSANGA,SC 1900
VACARIA,RS 2250
VALE REAL,RS 2254
VALINHOS,SP 5620
VALPARAISO,SP 5630
VARGEM GRANDE DO SUL,SP 5640
VARGEM GRANDE PAULISTA,SP 5645
VARGINHA,MG 7070
VARZEA GRANDE,MT 0840
VARZEA PAULISTA,SP 5650
VERA CRUZ,SP 5660
VERANOPOLIS,RS 2280
VESPASIANO,MG 7120
VIAMAO,RS 2300
VIANA,ES 0510
VICOSA,MG 7130
VIDEIRA,SC 1930
VILA RICA,MT 0860
VILA VELHA,ES 0520
VINHEDO,SP 5670
VIRGEM DA LAPA,MG 7160
VISCONDE DE RIO BRANCO,MG 7200
VITORIA,ES 0530
VITORIA DA CONQUISTA,BA 3330
VITORIA DE SANTO ANTAO,PE 1640
VOLTA GRANDE,MG 7210
VOLTA REDONDA,RJ 0630
VOTORANTIM,SP 5700
VOTUPORANGA,SP 5710
XANXERE,SC 1950
XAXIM,SC 1970
ESPIRITO SANTO DO PINHAL,SP 1518
MOGI GUA€U,SP 3070
SAO JOAO DA BOA VISTA,SP 4910
CANELA,RS 0440
