Municipio,Itinerario
CARPINA,PE 0400
CARUARU,PE 0410
CASA BRANCA,SP 1080
CASCAVEL (CE),CE 0350
CASCAVEL (PR),PR 0480
CATANDUVA,SP 1110
CATARINA,CE 0360
CATURAI,GO 0520
CAUCAIA,CE 0370
CAXAMBU,MG 1550
CAXIAS,MA 0300
CAXIAS DO SUL,RS 0510
CERQUILHO,SP 1150
CESARIO LANGE,SP 1160
CHAPECO,SC 0420
CHARQUEADA,SP 1170
CIANORTE,PR 0550
CIDADE OCIDENTAL,GO 0549
CLEMENTINA,SP 1190
CLEVELANDIA,PR 0570
COCAL DO SUL,SC 0425
CODO,MA 0330
COELHO NETO,MA 0340
COLATINA,ES 0150
COLINA,SP 1200
COLINAS,RS 0558
COLOMBIA,SP 1210
COLOMBO,PR 0580
COLORADO,PR 0590
COMENDADOR GOMES,MG 1690
CONCEICAO DA BARRA,ES 0160
CONCEICAO DAS ALAGOAS,MG 1730
CONCEICAO DO COITE,BA 0840
CONCEICAO DO JACUIPE,BA 0850
CONCEICAO DOS OUROS,MG 1780
CONCHAL,SP 1220
CONCORDIA,SC 0430
CONFINS,MG 1787
CONGONHAL,MG 1790
CONTAGEM,MG 1860
CONTENDA,PR 0620
CORACAO DE MARIA,BA 0890
CORDEIROPOLIS,SP 1240
CORNELIO PROCOPIO,PR 0640
COROADOS,SP 1250
CORONEL FABRICIANO,MG 1940
CORUPA,SC 0450
COSMOPOLIS,SP 1280
COTIA,SP 1300
CRAVINHOS,SP 1310
CRICIUMA,SC 0460
CRUZ ALTA,RS 0610
CRUZEIRO,SP 1340
CRUZEIRO DO SUL,RS 0620
CUBATAO,SP 1350
CUIABA,MT 0340
CURITIBA,PR 0690
CURRAIS NOVOS,RN 0310
CURRALINHOS,PI 0325
CURURIPE,AL 0230
DELTA,MG 2125
DESCALVADO,SP 1370
DESCANSO,SC 0490
DIADEMA,SP 1380
DIAS D`AVILA,BA 1005
DIVINOPOLIS,MG 2230
DOIS CORREGOS,SP 1410
DOIS IRMAOS,RS 0640
DOIS VIZINHOS,PR 0720
DOMINGOS MARTINS,ES 0190
DOURADOS,MS 0370
DRACENA,SP 1440
DUQUE DE CAXIAS,RJ 0170
EDEIA,GO 0740
ELDORADO DO SUL,RS 0676
ELIAS FAUSTO,SP 1490
EMBU,SP 1500
EMBU GUACU,SP 1510
ENCANTADO,RS 0680
ENGENHEIRO BELTRAO,PR 0750
ERECHIM,RS 0700
ESCADA,PE 0520
ESPERANTINA,PI 0370
ESTANCIA VELHA,RS 0760
ESTEIO,RS 0770
ESTIVA,MG 2450
ESTIVA GERBI,SP 5730
ESTRELA,RS 0780
EUCLIDES DA CUNHA,BA 1070
EUNAPOLIS,BA 1072
EUSEBIO,CE 0428
EXTREMA,MG 2510
FARROUPILHA,RS 0790
FAZENDA RIO GRANDE,PR 0765
FEIRA DE SANTANA,BA 1080
FELIZ,RS 0810
FERNANDOPOLIS,SP 1550
FERRAZ DE VASCONCELOS,SP 1570
FLORES DA CUNHA,RS 0820
FLORIANOPOLIS,SC 0540
FORMOSA,GO 0800
FORTALEZA,CE 0440
FOZ DO IGUACU,PR 0830
FRANCA,SP 1620
FRANCISCO BELTRAO,PR 0840
FRANCISCO MORATO,SP 1630
FRANCO DA ROCHA,SP 1640
FRUTAL,MG 2710
GANDU,BA 1120
GARANHUNS,PE 0600
GARCA,SP 1670
GARIBALDI,RS 0860
GARUVA,SC 0580
GASPAR,SC 0590
GAVIAO PEIXOTO,SP 1685
GEMINIANO,PI 0435
GENERAL SALGADO,SP 1690
GENERAL SAMPAIO,CE 0460
GETULINA,SP 1700
GETULIO VARGAS,RS 0890
GIRUA,RS 0900
GOIANA,PE 0620
GOIANESIA,GO 0860
GOIANIA,GO 0870
GOIANIRA,GO 0880
GOIATUBA,GO 0910
GOVERNADOR CELSO RAMOS,SC 0600
GOVERNADOR VALADARES,MG 2770
GRAMADO,RS 0910
GRANJA,CE 0470
GRAVATA,PE 0640
GRAVATAI,RS 0920
GUABIJU,RS 0925
GUAIBA,RS 0930
GUAIRA,SP 1740
GUAPORE,RS 0940
GUARACAI,SP 1780
GUARAMIRIM,SC 0650
GUARANI,MG 2840
GUARANI DAS MISSOES,RS 0950
GUARANIACU,PR 0930
GUARAPUAVA,PR 0940
GUARARAPES,SP 1820
GUARAREMA,SP 1830
GUARATINGUETA,SP 1840
GUARIBA,SP 1860
GUARUJA,SP 1870
GUARULHOS,SP 1880
GUAXUPE,MG 2870
GURUPI,TO 0950
HARMONIA,RS 0955
HIDROLANDIA,GO 0970
HOLAMBRA,SP 1905
HORIZONTE,CE 0523
HORIZONTINA,RS 0960
HORTOLANDIA,SP 1907
IBAITI,PR 0970
IBATE,SP 1930
IBIPORA,PR 0980
IBIRITE,MG 2980
IBIUNA,SP 1970
ICARA,SC 0700
IGARAPAVA,SP 2010
IGARAPE,MG 3010
IGARASSU,PE 0680
IGRAPIUNA,BA 1345
IGREJA NOVA,AL 0320
IGREJINHA,RS 1010
IJUI,RS 1020
ILHEUS,BA 1360
IMBITUBA,SC 0730
IMIGRANTE,RS 1036
IMPERATRIZ,MA 0530
INDAIAL,SC 0750
INDAIATUBA,SP 2050
IPAMERI,GO 1010
IPATINGA,MG 3130
IPAUCU,SP 2090
IPAUMIRIM,CE 0570
IPERO,SP 2100
IPEUNA,SP 2110
IPIRANGA,PR 1050
IPOJUCA,PE 0720
IPORA,PR 1060
IRACEMAPOLIS,SP 2140
IRAQUARA,BA 1440
IRETAMA,PR 1080
ITA,SC 0800
ITABORAI,RJ 0190
ITABUNA,BA 1480
ITACOATIARA,AM 0190
ITAGUAI,RJ 0200
ITAI,SP 2180
ITAITINGA,CE 0625
ITAITUBA,PA 0360
ITAJAI,SC 0820
ITAJUBA,MG 3240
ITAPACI,GO 1090
ITAPECERICA DA SERRA,SP 2220
ITAPEMA,SC 0830
ITAPEMIRIM,ES 0280
ITAPERUCU,PR 1125
ITAPETINGA,BA 1640
ITAPETININGA,SP 2230
ITAPEVA (MG),MG 3360
ITAPEVA (SP),SP 2240
ITAPEVI,SP 2250
ITAPIRA,SP 2260
ITAPISSUMA,PE 0775
ITAPOLIS,SP 2270
ITAPURA,SP 2300
ITAQUAQUECETUBA,SP 2310
ITAQUI,RS 1060
ITARARE,SP 2320
ITAREMA,CE 0655
ITATIAIA,RJ 0225
ITATIAIUCU,MG 3370
ITATIBA,SP 2340
ITAUNA,MG 3380
ITIRAPINA,SP 2360
ITU,SP 2390
ITUIUTABA,MG 3420
ITUMBIARA,GO 1150
ITUPEVA,SP 2400
ITURAMA,MG 3440
ITUVERAVA,SP 2410
IVATE,PR 1155
IVOTI,RS 1080
JABOATAO DOS GUARARAPES,PE 0790
JABOTICABAL,SP 2430
JACARE DOS HOMENS,AL 0340
JACAREI,SP 2440
JACAREZINHO,PR 1180
JACI,SP 2450
JACINTO MACHADO,SC 0870
JACUTINGA,MG 3490
JAGUAPITA,PR 1190
JAGUARARI,BA 1770
JAGUARIAIVA,PR 1200
JAGUARIUNA,SP 2470
JAGUARUNA,SC 0880
JAMBEIRO,SP 2490
JANDAIA DO SUL,PR 1210
JANDIRA,SP 2500
JAPARATUBA,SE 0330
JAPERI,RJ 0227
JAPOATA,SE 0340
JARAGUA DO SUL,SC 0890
JARDIM ALEGRE,PR 1250
JARDINOPOLIS (SP),SP 2510
JARDINOPOLIS (SC),SC 0895
JARINU,SP 2520
JATAI,GO 1190
JAU,SP 2530
JEQUIA DA PRAIA,AL 0375
JEQUIE,BA 1800
JOACABA,SC 0900
JOAO MONLEVADE,MG 3620
JOAO PESSOA,PB 0750
JOAO PINHEIRO,MG 3630
JOAQUIM NABUCO,PE 0820
JOINVILLE,SC 0910
JUAZEIRO,BA 1840
JUAZEIRO DO NORTE,CE 0730
JUIZ DE FORA,MG 3670
JUNDIAI,SP 2590
JUQUITIBA,SP 2620
LAGARTO,SE 0350
LAGES,SC 0930
LAGOA DA PRATA,MG 3720
LAGOA DO ITAENGA,PE 0850
