SKU,Nome Produto,Unidade,IPI,Peso Especifico,Resolu??o 13,Origem,NCM
35011505-200,Produto 2162,kg,0,1.011633789,FALSE,0,2707.99.90
35011505-739,Produto 2163,kg,0,1.011633789,FALSE,0,2707.99.90
35011505-201,Produto 2164,kg,0,1.011633789,FALSE,0,2707.91.00
35011505-13,Produto 2165,kg,0,1.011633789,FALSE,0,2707.99.90
35011505-10,Produto 2166,kg,0,1.011633789,FALSE,0,2707.99.90
35011505-301,Produto 2167,kg,0,1.011633789,FALSE,0,2707.99.90
35080009-1,Produto 2168,kg,0,0.888,FALSE,0,2710.19.31
35080030-201,Produto 2169,lt,0,0.89,TRUE,2,2710.19.31
35080030-482,Produto 2170,lt,0,0.89,TRUE,2,2710.19.31
35080018-1,Produto 2171,kg,0.08,0.874,FALSE,0,2710.19.99
35080034-1,Produto 2172,kg,0.08,0.874049471,FALSE,0,2710.19.99
72500031-1,Produto 2173,kg,0.08,0.8902,FALSE,0,2710.19.99
35080018-243,Produto 2174,kg,0.08,0.874,FALSE,0,2710.19.99
35080018-10,Produto 2175,kg,0.08,0.874,FALSE,0,2710.19.99
35080018-482,Produto 2176,kg,0.08,0.874,FALSE,0,2710.19.99
35030003-1,Produto 2177,kg,0,0.891,FALSE,0,2710.19.31
35030003-10,Produto 2178,kg,0,0.891,FALSE,0,2710.19.31
35030003-13,Produto 2179,kg,0,0.891,FALSE,0,2710.19.31
35030100-477,Produto 2180,kg,0,0.89,FALSE,0,2710.19.31
35030100-201,Produto 2181,lt,0,0.89,FALSE,0,2710.19.31
35030100-10,Produto 2182,kg,0,0.89,FALSE,0,2710.19.31
35030100-301,Produto 2183,kg,0,0.89,FALSE,0,2710.19.31
35030100-482,Produto 2184,lt,0,0.89,FALSE,0,2710.19.31
35030100-13,Produto 2185,kg,0,0.89,FALSE,0,2710.19.31
35080005-201,Produto 2186,lt,0,0.9188,FALSE,0,2710.19.31
35080005-10,Produto 2187,kg,0,0.9188,FALSE,0,2710.19.31
35080005-301,Produto 2188,kg,0,0.9188,FALSE,0,2710.19.31
35080005-482,Produto 2189,lt,0,0.9188,FALSE,0,2710.19.31
35110007-51,Produto 2190,kg,0,0.825014438,FALSE,0,2710.19.91
35110007-51 ,Produto 2191,lt,0,0.840053763,FALSE,0,2710.19.91
35110007-550,Produto 2192,lt,0,0.8425,FALSE,0,2710.19.99
35110007-684,Produto 2193,lt,0,0.8425,FALSE,0,2710.19.99
35110007-538,Produto 2194,kg,0,0.8425,FALSE,0,2710.19.91
35080044-1,Produto 2195,kg,0,0.8425,FALSE,0,2710.19.99
35110007-201,Produto 2196,lt,0,0.8425,FALSE,0,2710.19.99
35110007-10,Produto 2197,lt,0,0.8425,FALSE,0,2710.19.99
35110007-301,Produto 2198,kg,0,0.8425,FALSE,0,2710.19.99
35110007-482,Produto 2199,lt,0,0.8425,FALSE,0,2710.19.99
35110007-13,Produto 2200,kg,0,0.8425,FALSE,0,2710.19.99
35210001-1,Produto 2201,lt,0,0.84,FALSE,0,2710.19.31
35210001-201,Produto 2202,kg,0,0.84,FALSE,0,2710.19.31
35210001-10,Produto 2203,kg,0,0.84,FALSE,0,2710.19.31
35210001-482,Produto 2204,lt,0,0.84,FALSE,0,2710.19.31
35210001-13,Produto 2205,kg,0,0.84,FALSE,0,2710.19.31
72500013-1,Produto 2206,kg,0,0.856,FALSE,0,2710.19.31
72500013-10,Produto 2207,kg,0,0.856,FALSE,0,2710.19.31
35230002-478,Produto 2208,kg,0,0.85,FALSE,0,2710.19.31
35230002-538,Produto 2209,kg,0,0.85,FALSE,0,2710.19.31
35230002-477,Produto 2210,kg,0,0.85,FALSE,0,2710.19.31
35230002-201,Produto 2211,lt,0,0.85,FALSE,0,2710.19.31
35230002-10,Produto 2212,kg,0,0.85,FALSE,0,2710.19.31
35230002-301,Produto 2213,kg,0,0.85,FALSE,0,2710.19.31
35230002-482,Produto 2214,lt,0,0.85,FALSE,0,2710.19.31
35230002-13,Produto 2215,kg,0,0.85,FALSE,0,2710.19.31
35230002-476,Produto 2216,kg,0,0.85,FALSE,0,2710.19.31
35260009-538,Produto 2217,kg,0,0.87,FALSE,0,2710.19.31
35260009-201,Produto 2218,lt,0,0.87,FALSE,0,2710.19.31
35260009-10,Produto 2219,kg,0,0.87,FALSE,0,2710.19.31
35260009-301,Produto 2220,kg,0,0.87,FALSE,0,2710.19.31
35260009-482,Produto 2221,lt,0,0.87,FALSE,0,2710.19.31
35260009-13,Produto 2222,kg,0,0.87,FALSE,0,2710.19.31
35080031-40,Produto 2223,kg,0,0.87,FALSE,0,2710.19.31
35080031-538,Produto 2224,kg,0,0.87,FALSE,0,2710.19.31
35080031-201,Produto 2225,lt,0,0.87,FALSE,0,2710.19.31
35080031-482,Produto 2226,lt,0,0.87,FALSE,0,2710.19.31
35200006-40,Produto 2227,kg,0,0.88,TRUE,2,2710.19.31
35200006-478,Produto 2228,kg,0,0.88,TRUE,2,2710.19.31
