chave,CD,sku,id_prod,id_dc,moeda,preco,politica,por,atualizado,pp mes anterior,fob net anterior,analista,lead team,q min,reajuste,reajuste,coment,apoio sobre demanda,frac/FALSE
66112091-10SP13,SP13,66112091-10,5609,1,USD,"5,076.33",0.2,1000,TRUE,"5,107.13","6,128.56",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112091-41SP13,SP13,66112091-41,5607,1,USD,"5,480.68",0.3,1000,TRUE,"5,545.30","7,208.88",FABIO,115,19.9,,,Seguir pol?tica,REGULAR,TRUE
66112120-116SC04,SC04,66112120-116,205,5,USD,"4,155.60",0.2,1000,TRUE,"4,155.99","4,987.19",FABIO,115,190,,,Seguir pol?tica,REGULAR,FALSE
66112120-116SP13,SP13,66112120-116,205,1,USD,"4,418.68",0.2,1000,TRUE,"4,445.82","5,334.99",FABIO,115,190,,,Seguir pol?tica,REGULAR,FALSE
66112121-116SC04,SC04,66112121-116,3460,5,USD,"5,793.76",0.2,1000,TRUE,"5,926.42","7,111.71",FABIO,115,0,,,Seguir pol?tica,DESCONTINUADO,FALSE
66112121-116SP13,SP13,66112121-116,3460,1,USD,"6,107.54",0.2,1000,TRUE,"6,337.53","7,605.04",FABIO,115,0,,,Seguir pol?tica,DESCONTINUADO,FALSE
66112121-237SP13,SP13,66112121-237,3459,1,USD,"6,530.13",0.25,1000,TRUE,"6,807.97","8,509.97",FABIO,115,0,,,Seguir pol?tica,DESCONTINUADO,TRUE
66112118-7SC04,SC04,66112118-7,4050,5,USD,"11,580.54",0.5,1000,TRUE,"11,580.93","17,371.40",FABIO,115,180,,,Seguir pol?tica,REGULAR,FALSE
66112118-7SP13,SP13,66112118-7,4050,1,USD,"13,341.36",0.5,1000,TRUE,"13,416.17","20,124.25",FABIO,115,180,,,Seguir pol?tica,REGULAR,FALSE
66112094-93SC04,SC04,66112094-93,5748,5,USD,"3,897.90",0.3,1000,TRUE,"4,350.21","5,655.28",FABIO,115,25,,,Seguir pol?tica,REGULAR,FALSE
